,zipcode,average_zip_price
6743,78702.0,557558.2721088436
9866,78703.0,1072762.1968085107
9298,78704.0,891350.709611452
8670,78705.0,713852.0256410256
5098,78717.0,462822.5120643432
3978,78721.0,394341.6176470588
6308,78722.0,544943.6451612903
5471,78723.0,477225.2885572139
1046,78724.0,313034.22839506174
0,78725.0,252665.09917355367
6186,78726.0,529856.9344262296
3684,78727.0,392000.6156462585
1480,78728.0,325311.5125
2739,78729.0,373292.98642533936
8899,78730.0,765224.4823529412
8984,78731.0,811551.050955414
7817,78732.0,589661.3287671233
8709,78733.0,740738.0116279069
8515,78735.0,705765.8516129032
4413,78736.0,421498.9126213592
5873,78737.0,523198.4089456869
7408,78739.0,587714.9633251834
4148,78741.0,414250.4777070064
406,78744.0,288237.36615384615
2960,78745.0,391264.30248618784
9787,78746.0,1009428.2151898736
1208,78747.0,318210.9742647059
1640,78748.0,347793.02490660024
4516,78749.0,431299.40206185565
8182,78750.0,608268.2741116751
8379,78751.0,619499.75
4305,78752.0,414479.1018518519
731,78753.0,310331.9142857143
121,78754.0,282572.63157894736
8795,78756.0,751517.3173076923
7037,78757.0,563798.5175202156
2443,78758.0,368895.1858108108
6370,78759.0,552988.6058981234
